date,country,value,days_since100,perc_growth,cases_per1m,cases_perICU
2020-03-14,Spain,6391,12,1.2215214067278288,136.74456278285007,1.3674456278285005
2020-03-15,Spain,7798,13,1.2201533406352683,166.8493350932037,1.668493350932037
2020-03-16,Spain,9942,14,1.2749422928956142,212.7232738518378,2.127232738518378
2020-03-17,Spain,11748,15,1.1816535908267953,251.3652203994559,2.513652203994559
2020-03-18,Spain,13910,16,1.1840313244807628,297.6242948379666,2.9762429483796655
2020-03-19,Spain,17963,17,1.29137311286844,384.34401209017926,3.8434401209017928
2020-03-20,Spain,20410,18,1.1362244613928631,436.701068126736,4.36701068126736
2020-03-21,Spain,25374,19,1.2432141107300343,542.9129300660362,5.429129300660362
2020-03-22,Spain,28768,20,1.1337589658705762,615.5324021494337,6.155324021494336
2020-03-23,Spain,35136,21,1.221357063403782,751.7848471191081,7.517848471191081
2020-03-24,Spain,39885,22,1.135160519125683,853.3964773265491,8.53396477326549
2020-03-25,Spain,49515,23,1.2414441519368185,1059.444066060526,10.594440660605258
2020-03-26,Spain,57786,24,1.1670402908209634,1236.41391096382,12.3641391096382
2020-03-27,Spain,65719,25,1.137282386737272,1406.1517636560982,14.061517636560982
2020-03-28,Spain,73235,26,1.1143657085469956,1566.9673064312353,15.669673064312352
2020-03-29,Spain,80110,27,1.0938758790195944,1714.0677397174336,17.140677397174336
2020-03-30,Spain,87956,28,1.0979403320434402,1881.9441032903082,18.819441032903082
2020-03-31,Spain,95923,29,1.0905793805993906,2052.40943448902,20.524094344890198
2020-04-01,Spain,104118,30,1.0854331078052188,2227.7531509661685,22.277531509661685
2020-04-02,Spain,112065,31,1.0763268599089495,2397.790553631684,23.97790553631684
2020-04-03,Spain,119199,32,1.0636594833355641,2550.4326614227734,25.504326614227733
2020-03-03,US,118,0,,0.3585918580314656,
2020-03-04,US,149,1,1.2627118644067796,0.45279819361600315,
2020-03-05,US,217,2,1.4563758389261745,0.659444349091763,
2020-03-06,US,262,3,1.207373271889401,0.7961954813918982,
2020-03-07,US,402,4,1.534351145038168,1.2216434485478742,
2020-03-08,US,518,5,1.2885572139303483,1.5741574784771117,
2020-03-09,US,583,6,1.1254826254826256,1.7716868917995292,
2020-03-10,US,959,7,1.6449399656946826,2.9143185750184366,
2020-03-11,US,1281,8,1.3357664233576643,3.8928488994771815,
2020-03-12,US,1663,9,1.2982045277127245,5.053714067002773,
2020-03-13,US,2179,10,1.3102826217678893,6.621793717377657,
2020-03-14,US,2727,11,1.2514915098669115,8.287118617388192,
2020-03-15,US,3499,12,1.2830949761642831,10.63316026484829,
2020-03-16,US,4632,13,1.3238068019434124,14.076249884760582,
2020-03-17,US,6421,14,1.3862262521588946,19.512867122203733,
2020-03-18,US,7783,15,1.2121164927581374,23.651868059821158,
2020-03-19,US,13677,16,1.7572915328279584,41.56322747708775,
2020-03-20,US,19100,17,1.3965050815237259,58.0432583762796,
2020-03-21,US,25489,18,1.334502617801047,77.45888024884768,
2020-03-22,US,33276,19,1.305504335203421,101.1229039648733,
2020-03-23,US,43847,20,1.317676403413872,133.24726439920062,
2020-03-24,US,53740,21,1.2256254703856593,163.31124110687256,
2020-03-25,US,65778,22,1.224004465947153,199.89368845418426,
2020-03-26,US,83836,23,1.2745294779409528,254.77039838920297,
2020-03-27,US,101657,24,1.212569779092514,308.9268856941076,
2020-03-28,US,121478,25,1.1949791947431068,369.16120110124047,
2020-03-29,US,140886,26,1.1597655542567378,428.14044500526325,
2020-03-30,US,161807,27,1.1484959470777791,491.71756586862165,
2020-03-31,US,188172,28,1.1629410346894757,571.8385348262452,
2020-04-01,US,213372,29,1.1339200306102928,648.419168914321,
2020-04-02,US,243453,30,1.1409791350317755,739.8327424858846,
2020-04-03,US,275586,31,1.1319885152370273,837.4821676903346,
2020-03-05,United Kingdom,116,0,,1.7177506966811815,0.05725835655603938
